loanId,installmentIndex,isCollection,paymentDate,principal,fees,paymentAmount,paymentStatus,paymentReturnCode
LL-I-00067673,1,FALSE,2015-01-30T05:00:00,0,50.14,50.14,Checked,
LL-I-00067673,2,FALSE,2015-02-13T05:00:00,11.16,87.74,98.9,Checked,
LL-I-00067673,3,FALSE,2015-02-27T05:00:00,13.61,85.29,98.9,Checked,
LL-I-00067673,4,FALSE,2015-03-13T04:00:00,16.59,82.31,98.9,Checked,
LL-I-00067673,5,FALSE,2015-03-27T04:00:00,20.23,78.67,98.9,Checked,
LL-I-00067673,6,FALSE,2015-04-10T04:00:00,24.67,74.23,98.9,Checked,
LL-I-00067673,7,FALSE,2015-04-24T04:00:00,30.08,68.82,98.9,Checked,
LL-I-00067673,8,FALSE,2015-05-08T04:00:00,36.68,62.22,98.9,Checked,
LL-I-00067673,9,FALSE,2015-05-22T04:00:00,44.72,54.18,98.9,Checked,
LL-I-00067673,10,FALSE,2015-06-05T04:00:00,54.53,44.37,98.9,Checked,
LL-I-00067673,11,FALSE,2015-06-26T04:00:00,66.49,32.41,98.9,Cancelled,
LL-I-00067673,12,FALSE,2015-06-26T19:19:21.867000,147.73,46.09,193.82,Checked,
LL-I-00067673,13,FALSE,2015-07-03T04:00:00,81.24,17.66,98.9,Cancelled,
LL-I-00193949,1,FALSE,2015-02-27T05:00:00,0,111.79,111.79,Checked,
LL-I-00193949,2,FALSE,2015-03-31T05:00:00,500,203.27,703.27,Checked,
LL-I-00193949,3,FALSE,2015-04-01T04:00:00,5.09,199.45,204.54,Cancelled,
LL-I-00193949,4,FALSE,2015-05-01T04:00:00,7.13,197.41,204.54,Cancelled,
LL-I-00193949,5,FALSE,2015-06-01T04:00:00,9.97,194.57,204.54,Cancelled,
LL-I-00193949,6,FALSE,2015-07-01T04:00:00,13.95,190.59,204.54,Cancelled,
LL-I-00193949,7,FALSE,2015-07-31T04:00:00,19.51,185.03,204.54,Cancelled,
LL-I-00193949,8,FALSE,2015-09-01T04:00:00,27.29,177.25,204.54,Cancelled,
LL-I-00193949,9,FALSE,2015-10-01T04:00:00,38.17,166.37,204.54,Cancelled,
LL-I-00193949,10,FALSE,2015-10-30T04:00:00,53.4,151.14,204.54,Cancelled,
LL-I-00193949,11,FALSE,2015-12-01T05:00:00,74.7,129.84,204.54,Cancelled,
LL-I-00193949,12,FALSE,2015-12-31T05:00:00,104.5,100.04,204.54,Cancelled,
LL-I-00193949,13,FALSE,2016-02-01T05:00:00,146.29,58.25,204.54,Cancelled,
LL-I-00202124,1,FALSE,2015-02-06T05:00:00,0,18.8,18.8,Checked,
LL-I-00202124,2,FALSE,2015-02-13T05:00:00,3.31,32.9,36.21,Checked,
LL-I-00202124,3,FALSE,2015-02-20T05:00:00,3.67,32.54,36.21,Checked,
LL-I-00202124,4,FALSE,2015-02-27T05:00:00,4.07,32.14,36.21,Checked,
LL-I-00202124,5,FALSE,2015-03-06T05:00:00,4.52,31.69,36.21,Checked,
